transportadora,cnpj,codigo,rota,cidade,razao_social,nome_mapa,latitude,longitude,codigo_ibge,tipo_match,fonte_coordenada
BRASPRESS IPN,48.637.898/0001-30,,2,BELO HORIZONTE,DROGARIA FARMACÊUTICO,Belo Horizonte,-19.9102,-43.9266,3106200,mapa anterior,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
BRASPRESS IPN,07.741.201/0001-99,1505,2,BELO HORIZONTE,DROGARIA TLC LTDA,Belo Horizonte,-19.9102,-43.9266,3106200,mapa anterior,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
BRASPRESS IPN,17.312.562/0001-73,1513,2,BELO HORIZONTE,DROGARIA BARAO LTDA,Belo Horizonte,-19.9102,-43.9266,3106200,mapa anterior,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
BRASPRESS IPN,46.951.064/0001-79,1609,2,BELO HORIZONTE,DROGARIA POPULAR ALVES MEDS LTDA,Belo Horizonte,-19.9102,-43.9266,3106200,mapa anterior,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
BRASPRESS IPN,37.038.150/0001-02,1740,2,BELO HORIZONTE,FARMAXIMA DRUGSTORE LTDA.,Belo Horizonte,-19.9102,-43.9266,3106200,mapa anterior,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
BRASPRESS IPN,07.163.584/0001-65,1777,2,BELO HORIZONTE,DROGARIA VITAE,Belo Horizonte,-19.9102,-43.9266,3106200,mapa anterior,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
BRASPRESS IPN,48.270.297/0001-31,1884,2,BELO HORIZONTE,DROGARIA GAMA LTDA,Belo Horizonte,-19.9102,-43.9266,3106200,mapa anterior,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
BRASPRESS IPN,19.562.792/0001-16,217,2,BELO HORIZONTE,DROGARIA E PERFUMARIA PRATES LTDA,Belo Horizonte,-19.9102,-43.9266,3106200,mapa anterior,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
BRASPRESS IPN,24.019.150/0001-05,221,2,BELO HORIZONTE,DROGARIA DA PAZ LTDA,Belo Horizonte,-19.9102,-43.9266,3106200,mapa anterior,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
BRASPRESS IPN,47.732.421/0001-70,250,2,BELO HORIZONTE,RODRIGUES E MOREIRA LTDA,Belo Horizonte,-19.9102,-43.9266,3106200,mapa anterior,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
BRASPRESS IPN,31.131.047/0001-18,252,2,BELO HORIZONTE,DROGARIA GLOBAL LTDA,Belo Horizonte,-19.9102,-43.9266,3106200,mapa anterior,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
BRASPRESS IPN,16.676.389/0001-20,253,2,BELO HORIZONTE,DROGASERRA LTDA,Belo Horizonte,-19.9102,-43.9266,3106200,mapa anterior,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
BRASPRESS IPN,44.386.198/0001-69,345,2,BELO HORIZONTE,LUARA STELLA LEAL LTDA,Belo Horizonte,-19.9102,-43.9266,3106200,mapa anterior,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
BRASPRESS IPN,17.321.383/0001-00,346,2,BELO HORIZONTE,DROGARIA KIT LTDA - ME,Belo Horizonte,-19.9102,-43.9266,3106200,mapa anterior,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
BRASPRESS IPN,03.682.265/0001-05,350,2,BELO HORIZONTE,DROGARIA PROFETA LTDA,Belo Horizonte,-19.9102,-43.9266,3106200,mapa anterior,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
BRASPRESS IPN,03.858.078/0001-30,469,2,BELO HORIZONTE,DROGARIA WEBFARMA LTDA,Belo Horizonte,-19.9102,-43.9266,3106200,mapa anterior,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
BRASPRESS IPN,21.888.573/0001-73,580,2,BELO HORIZONTE,FARMACIA MINAS FARMA DRUGSTORE LTDA- ME,Belo Horizonte,-19.9102,-43.9266,3106200,mapa anterior,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
BRASPRESS IPN,41.965.651/0001-01,174,2,BELO ORIENTE,DROGARIA CARMO & BENFICA LTDA,Belo Oriente,-19.2199,-42.4828,3106309,município,Base Municipios-Brasileiros
BRASPRESS IPN,11.666.595/0001-35,296,2,BERILO,FABIO ELEUTÉRIO OLIVEIRA,Berilo,-16.9567,-42.4606,3106507,município,Base Municipios-Brasileiros
BRASPRESS IPN,41.933.573/0002-36,13,2,BETIM,COMERCIAL PENELOPI LTDA ME (FILIAL),Betim,-19.9668,-44.2008,3106705,mapa anterior,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
BRASPRESS IPN,41.933.573/0001-55,14,2,BETIM,COMERCIAL PENELOPI LTDA ME (MATRIZ),Betim,-19.9668,-44.2008,3106705,mapa anterior,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
BRASPRESS IPN,55.976.960/0001-83,1778,2,BLUMENAU,HILLS FARMA,Blumenau,-26.9155,-49.0709,4202404,município,Base Municipios-Brasileiros
BRASPRESS IPN,28.007.000/0001-32,1861,2,BOA VISTA,STUDIO AQUELE UP LTDA,Boa Vista,2.82384,-60.6753,1400100,município,Base Municipios-Brasileiros
BRASPRESS IPN,13.100.248/0001-76,133,2,BOM JESUS DA LAPA,DROGA MIL PRODUTOS FARMACEUTICOS LTDA,Bom Jesus da Lapa,-13.2506,-43.4108,2903904,município,Base Municipios-Brasileiros
BRASPRESS IPN,34.193.814/0001-01,288,2,BOM JESUS DA LAPA,DROGARIA MEGA FARMA LTDA,Bom Jesus da Lapa,-13.2506,-43.4108,2903904,município,Base Municipios-Brasileiros
BRASPRESS IPN,24.698.562/0001-19,493,2,BOM JESUS DO AMPARO,FARMA MH FONSECA LTDA-ME,Bom Jesus do Amparo,-19.7054,-43.4782,3107703,município,Base Municipios-Brasileiros
BRASPRESS IPN,27.794.078/0003-43,700,2,BOM JESUS DO GALHO,OLIVEIRA & SILVA FARMACEUTICA LTDA,Bom Jesus do Galho,-19.836,-42.3165,3107802,município,Base Municipios-Brasileiros
BRASPRESS IPN,27.794.078/0001-81,701,2,BOM JESUS DO GALHO,OLIVEIRA & SILVA FARMACÊUTICA LTDA-ME,Bom Jesus do Galho,-19.836,-42.3165,3107802,município,Base Municipios-Brasileiros
BRASPRESS IPN,55.531.950/0001-34,1665,2,BRASIL NOVO,DROGARIA CARNEIRO COM. DE MEDICAMENTOS LTDA,Brasil Novo,-3.29792,-52.534,1501725,município,Base Municipios-Brasileiros
BRASPRESS IPN,12.163.373/0001-62,124,2,BRASILIA,JC SIQUEIRA DROGARIA LTDA,Brasília,-15.7795,-47.9297,5300108,município,Base Municipios-Brasileiros
BRASPRESS IPN,10.188.343/0001-85,125,2,BRASILIA,DROGARIA ANA LIDIA LTDA,Brasília,-15.7795,-47.9297,5300108,município,Base Municipios-Brasileiros
BRASPRESS IPN,52.572.875/0001-61,1378,2,BRASILIA,SAO CARLOS DROGARIA LTDA,Brasília,-15.7795,-47.9297,5300108,município,Base Municipios-Brasileiros
BRASPRESS IPN,13.985.470/0001-01,1530,2,BRASILIA,SANTOS MARINHO COMERCIO DE MEDICAMENTOS LTDA,Brasília,-15.7795,-47.9297,5300108,município,Base Municipios-Brasileiros
BRASPRESS IPN,09.400.154/0001-45,1959,2,BRASILIA,DROGARIA MRS LTDA,Brasília,-15.7795,-47.9297,5300108,município,Base Municipios-Brasileiros
BRASPRESS IPN,43.625.543/0001-07,99,2,BRASILIA,CRISTINA FARMA DROGARIA LTDA.,Brasília,-15.7795,-47.9297,5300108,município,Base Municipios-Brasileiros
BRASPRESS IPN,57.182.349/0001-09,1752,2,BREVES,A W D FARMACIA LTDA,Breves,-1.68036,-50.4791,1501808,município,Base Municipios-Brasileiros
BRASPRESS IPN,48.838.604/0001-38,1342,2,CACHOEIRA ALTA,NILVANIA MELO DE OLIVEIRA LTDA,Cachoeira Alta,-18.7618,-50.9432,5204102,município,Base Municipios-Brasileiros
BRASPRESS IPN,53.428.600/0001-11,1526,2,CACHOEIRO DE ITAPEMIRIM,DROGARIA SANTA LUZIA LTDA,Cachoeiro de Itapemirim,-20.8462,-41.1198,3201209,município,Base Municipios-Brasileiros
BRASPRESS IPN,24.468.941/0001-12,367,2,CACHOEIRO DE ITAPEMIRIM,O. M. DROGARIA EIRELI - ME,Cachoeiro de Itapemirim,-20.8462,-41.1198,3201209,município,Base Municipios-Brasileiros
BRASPRESS IPN,20.055.971/0001-46,368,2,CACHOEIRO DE ITAPEMIRIM,DROGARIA SAGRADA FAMÍLIA LTDA,Cachoeiro de Itapemirim,-20.8462,-41.1198,3201209,município,Base Municipios-Brasileiros
BRASPRESS IPN,33.163.301/0001-95,625,2,CACHOEIRO DE ITAPEMIRIM,DROGARIA N. S. APARECIDA LTDA,Cachoeiro de Itapemirim,-20.8462,-41.1198,3201209,município,Base Municipios-Brasileiros
